Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-DNA001,2702 Tx-42,Kilgore,75662,Dna Fabrication,Metal Fabrication,32.40428925,-94.86871338,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TSI001,322 S Longview St,Kilgore,75662,Tsi Fabrication,Metal Fabrication,32.38583374,-94.87889862,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-S S001,708 Fritz Swanson Rd,Kilgore,75662,S & S Metal Products,Metal Fabrication,32.39362717,-94.87837219,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-THE003,1209 S Main St,Lindale,75771,The Steel Building Guy,Metal Fabrication,32.50421906,-95.40787506,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TEX008,19267 County Rd 478,Lindale,75771,Texas Metal Building Services,Metal Fabrication,32.5474205,-95.47932434,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-THE002,12648 County Rd 499,Lindale,75771,The Phunny Farm Metal Buildings and More,Metal Fabrication,32.50195694,-95.37471008,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-PHI001,18690 US Highway 69 N,Lindale,75771,Phillips Steel Buildings LLC,Metal Fabrication,32.53929901,-95.4156723,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-WIN001,2010 S Main St,Lindale,75771,Winslow's Custom Buildings,Construction,32.48942566,-95.39876556,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-BAR002,1381 E I 20 Access Rd,Longview,75603,"Bar H Welding, LLC",Welding,32.43459702,-94.76537323,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-SME001,2706 E Marshall Ave,Longview,75601,Smelley Welding and Fabrication,Welding,32.50274658,-94.68869781,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-C N001,40 Frj Dr,Longview,75602,"C. Niel Welding, Inc.",Welding,32.497715,-94.69142151,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-EAS002,1000 1/2 W Cotton St,Longview,75604,East Texas Carports,Metal Fabrication,32.49580002,-94.76066589,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-STE001,4750 W Marshall Ave,Longview,75604,Steel & Pipe Supply Co Inc.,Metal Fabrication,32.50684738,-94.80783844,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-SAC001,10730 Tx-149,Longview,75603,Sac Manufacturing Inc.,Metal Fabrication,32.38361359,-94.65112305,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-DEE002,109 Benny St,Longview,75604,Deem Structural Services,Metal Fabrication,32.50583267,-94.76755524,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-ALL003,111 Gum Springs Rd,Longview,75602,All Sheet Metal,Metal Fabrication,32.49087143,-94.71424866,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-M J001,1203 Champion Way,Longview,75604,"M & J Valve Services, Inc.",Metal Fabrication,32.48762512,-94.76959229,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TUE001,1301 Pine Tree Rd,Longview,75604,Tuel Sheet Metal,Metal Fabrication,32.51900864,-94.80109406,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-LEB001,215 Industrial Dr,Longview,75602,Lebus International Inc.,Metal Fabrication,32.49972916,-94.68756866,Not Contacted,,,30,2026/04/02,Cold,,,,,
